kind,name,source,handler,auth_dependencies,review_status,test_evidence
cron,boron-certbot-renew.cron:3,deploy/boron-certbot-renew.cron,/opt/boron/.venv/bin/certbot renew --quiet >> /var/log/boron/certbot-renew.log 2>&1,cron user=root,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
cron,boron-cloudflare.cron:12,deploy/boron-cloudflare.cron,/opt/boron/scripts/cloudflare_ranges.py >> /var/log/boron/cloudflare-ranges.log 2>&1,cron user=root,pending,
cron,boron-cloudflare.cron:7,deploy/boron-cloudflare.cron,/opt/boron/scripts/cloudflare_zone_check.py >> /var/log/boron/cloudflare-zone-check.log 2>&1,cron user=root,pending,
cron,boron-geoip.cron:3,deploy/boron-geoip.cron,"/bin/sh -c 'key=""$(cat /etc/boron/maxmind-license 2>/dev/null)""; [ -n ""$key"" ] || exit 0; MAXMIND_LICENSE_KEY=""$key"" /opt/boron/.venv/bin/python -c ""import os,sys; sys.path.insert(0,\""/opt/boron\""); from daemon import geoip; geoip.download_database(os.environ[\""MAXMIND_LICENSE_KEY\""])"" >> /var/log/boron/geoip-refresh.log 2>&1'",cron user=root,pending,
cron,boron-jobs.cron:13,deploy/boron-jobs.cron,/opt/boron/scripts/backup_scheduler.py >> /var/log/boron/backup-scheduler.log 2>&1,cron user=root,pending,
cron,boron-jobs.cron:16,deploy/boron-jobs.cron,/opt/boron/scripts/pma_token_cleanup.py >> /var/log/boron/pma-token-cleanup.log 2>&1,cron user=root,reviewed-fixed,"PMA token hardening: 18 PMA unit/sign-on tests plus 1 exact-grant MariaDB test; VM token canary minted temp DB token, verified 0640 regular token file, expired cleanup dropped ephemeral DB user/file/row and dropped temp DB; primary hash deployed"
cron,boron-jobs.cron:17,deploy/boron-jobs.cron,/opt/boron/scripts/ssl_expiry_check.py >> /var/log/boron/ssl-expiry-check.log 2>&1,cron user=root,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
cron,boron-jobs.cron:5,deploy/boron-jobs.cron,/opt/boron/.venv/bin/python /opt/boron/scripts/health_snapshot.py >> /var/log/boron/health-snapshot.log 2>&1,cron user=root,reviewed-tested,"Source: administrator-only global telemetry, root-internal snapshot, fixed chronyc argv with timeout/cache, bounded history hours/retention and parameterized SQL; tests/test_health.py (5) and root-policy gate; root-controlled cron log directory BSA-2026-055."
cron,boron-jobs.cron:8,deploy/boron-jobs.cron,/opt/boron/scripts/usage_snapshot.py >> /var/log/boron/usage-snapshot.log 2>&1,cron user=root,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
cron,boron-jobs.cron:9,deploy/boron-jobs.cron,/opt/boron/scripts/usage_alert_check.py >> /var/log/boron/usage-alert-check.log 2>&1,cron user=root,pending,
cron,boron-maintenance.cron:8,deploy/boron-maintenance.cron,/opt/boron/scripts/maintenance_autodisable.py >> /var/log/boron/maintenance-autodisable.log 2>&1,cron user=root,pending,
cron,boron-monitoring.cron:8,deploy/boron-monitoring.cron,/opt/boron/scripts/monitoring_check.py >> /var/log/boron/monitoring-check.log 2>&1,cron user=root,pending,
cron,boron-sitestats.cron:9,deploy/boron-sitestats.cron,/opt/boron/scripts/sitestats_snapshot.py >> /var/log/boron/sitestats-snapshot.log 2>&1,cron user=root,reviewed-fixed,"Source review plus 41 SSL tests, 8 final real-VM ACME hook tests, actual hosted/webmail HTTP challenge success/cleanup, locked idempotent renewal migration on both servers; 47 VM reporting tests, 24 focused parser/ownership cases, 25 HTTP/root scope cases. See SECURITY-AUDIT-REVIEW-2026-09-24.md for resource budgets and limitations."
cron,boron-update.cron:8,deploy/boron-update.cron,/opt/boron/scripts/update_check.py >> /var/log/boron/update-check.log 2>&1,cron user=root,reviewed-fixed,"update/release gate: 16 API/version/signature, 89 update/finalizer, 11 release tests; VM signed 1.5.1 update job and rollback job completed; post-rollback admin login smoke"
dynamic-service,per-account FileBrowser unit,daemon/filebrowser_accounts.py,generated systemd unit,account owner and unit template pending review,reviewed-fixed,BSA-2026-030/BSA-2026-036; 46547ff/112ed30/b8ec15d; 92+43 focused tests; VM own/cross-account/write and hostile-backend canaries; Chromium HTML/SVG isolation; primary smoke
dynamic-service,per-account Node.js unit,daemon/nodeapps.py,generated systemd unit,account owner and unit template pending review,reviewed-fixed,"Source: account/app ID binding, command UID, validators, root-owned unit/env, BEGIN IMMEDIATE shared port allocation, encrypted environment and teardown; bbe5cbe/3a309e9; 66 application plus 40 command tests; 204 grouped route/policy/domain tests; real Redis socket UID canary. Generated-unit log canary recorded under BSA-2026-048."
dynamic-service,per-account Python unit,daemon/pythonapps.py,generated systemd unit,account owner and unit template pending review,reviewed-fixed,"Source: account/app ID binding, command UID, validators, root-owned unit/env, BEGIN IMMEDIATE shared port allocation, encrypted environment and teardown; bbe5cbe/3a309e9; 66 application plus 40 command tests; 204 grouped route/policy/domain tests; real Redis socket UID canary. Generated-unit log canary recorded under BSA-2026-048."
